libdrm-radeon1	2.4.113-2~ubuntu0.22.04.1	install ok installed
libdrm2	2.4.113-2~ubuntu0.22.04.1	install ok installed
libedit2	3.1-20210910-1build1	install ok installed
libegl-mesa0	23.2.1-1ubuntu3.1~22.04.4	install ok installed
libegl1	1.4.0-1	install ok installed
libelf1	0.186-1ubuntu0.1	install ok installed
liberror-perl	0.17029-1	install ok installed
libexpat1	2.4.7-1ubuntu0.7	install ok installed
libexpat1-dev	2.4.7-1ubuntu0.7	install ok installed
libext2fs2	1.46.5-2ubuntu1.2	install ok installed
libfakeroot	1.28-1ubuntu1	install ok installed
libffi8	3.4.2-4	install ok installed
libfido2-1	1.10.0-1	install ok installed
libfile-fcntllock-perl	0.22-3build7	install ok installed
libfontconfig1	2.13.1-4.2ubuntu5	install ok installed
libfreetype6	2.11.1+dfsg-1ubuntu0.3	install ok installed
libgbm1	23.2.1-1ubuntu3.1~22.04.4	install ok installed
libgcc-11-dev	11.4.0-1ubuntu1~22.04.3	install ok installed
libgcc-s1	12.3.0-1ubuntu1~22.04.3	install ok installed
libgcrypt20	1.9.4-3ubuntu3	install ok installed
libgd3	2.3.0-2ubuntu2.3	install ok installed
libgdbm-compat4	1.23-1	install ok installed
libgdbm6	1.23-1	install ok installed
libgirepository-1.0-1	1.72.0-1	install ok installed
libgl1	1.4.0-1	install ok installed
libgl1-mesa-dri	23.2.1-1ubuntu3.1~22.04.4	install ok installed
libglapi-mesa	23.2.1-1ubuntu3.1~22.04.4	install ok installed
libgles2	1.4.0-1	install ok installed
libglib2.0-0	2.72.4-0ubuntu2.9	install ok installed
libglib2.0-data	2.72.4-0ubuntu2.9	install ok installed
libglvnd0	1.4.0-1	install ok installed
libglx-mesa0	23.2.1-1ubuntu3.1~22.04.4	install ok installed
libglx0	1.4.0-1	install ok installed
libgmp10	2:6.2.1+dfsg-3ubuntu1	install ok installed
libgnutls30	3.7.3-4ubuntu1.8	install ok installed
libgomp1	12.3.0-1ubuntu1~22.04.3	install ok installed
libgpg-error0	1.43-3	install ok installed
libgpm2	1.20.7-10build1	install ok installed
libgssapi-krb5-2	1.19.2-2ubuntu0.7	install ok installed
libhogweed6	3.7.3-1build2	install ok installed
libicu70	70.1-2	install ok installed
libidn2-0	2.3.2-2build1	install ok installed
libip4tc2	1.8.7-1ubuntu5.2	install ok installed
libisl23	0.24-2build1	install ok installed
libitm1	12.3.0-1ubuntu1~22.04.3	install ok installed
libjbig0	2.1-3.1ubuntu0.22.04.1	install ok installed
libjpeg-turbo8	2.1.2-0ubuntu1	install ok installed
libjpeg8	8c-2ubuntu10	install ok installed
libjs-jquery	3.6.0+dfsg+~3.5.13-1	install ok installed
libjs-sphinxdoc	4.3.2-1	install ok installed
libjs-underscore	1.13.2~dfsg-2	install ok installed
libjson-c5	0.15-3~ubuntu1.22.04.2	install ok installed
libk5crypto3	1.19.2-2ubuntu0.7	install ok installed
libkeyutils1	1.6.1-2ubuntu3	install ok installed
libkmod2	29-1ubuntu1.1	install ok installed
libkrb5-3	1.19.2-2ubuntu0.7	install ok installed
libkrb5support0	1.19.2-2ubuntu0.7	install ok installed
libksba8	1.6.0-2ubuntu0.2	install ok installed
libldap-2.5-0	2.5.20+dfsg-0ubuntu0.22.04.1	install ok installed
libldap-common	2.5.20+dfsg-0ubuntu0.22.04.1	install ok installed
libllvm15	1:15.0.7-0ubuntu0.22.04.3	install ok installed
liblocale-gettext-perl	1.07-4build3	install ok installed
liblsan0	12.3.0-1ubuntu1~22.04.3	install ok installed
liblz4-1	1.9.3-2build2	install ok installed
liblzma5	5.2.5-2ubuntu1	install ok installed
libmd0	1.0.4-1build1	install ok installed
libmount1	2.37.2-4ubuntu3.5	install ok installed
libmpc3	1.2.1-2build1	install ok installed
libmpdec3	2.5.1-2build2	install ok installed
libmpfr6	4.1.0-3build3	install ok installed
libncurses6	6.3-2ubuntu0.1	install ok installed
libncursesw6	6.3-2ubuntu0.1	install ok installed
libnettle8	3.7.3-1build2	install ok installed
libnghttp2-14	1.43.0-1ubuntu0.3	install ok installed
libnl-3-200	3.5.0-0.1	install ok installed
libnl-genl-3-200	3.5.0-0.1	install ok installed
libnpth0	1.6-3build2	install ok installed
libnsl-dev	1.3.0-2build2	install ok installed
libnsl2	1.3.0-2build2	install ok installed
libnss-systemd	249.11-0ubuntu3.20	install ok installed
libopengl0	1.4.0-1	install ok installed
libp11-kit0	0.24.0-6build1	install ok installed
libpam-modules	1.4.0-11ubuntu2.6	install ok installed
libpam-modules-bin	1.4.0-11ubuntu2.6	install ok installed
libpam-runtime	1.4.0-11ubuntu2.6	install ok installed
libpam-systemd	249.11-0ubuntu3.20	install ok installed
libpam0g	1.4.0-11ubuntu2.6	install ok installed
libpciaccess0	0.16-3	install ok installed
libpcre2-8-0	10.39-3ubuntu0.1	install ok installed
libpcre3	2:8.39-13ubuntu0.22.04.1	install ok installed
libperl5.34	5.34.0-3ubuntu1.5	install ok installed
libpng16-16	1.6.37-3ubuntu0.5	install ok installed
libprocps8	2:3.3.17-6ubuntu2.1	install ok installed
libpsl5	0.21.0-1.2build2	install ok installed
libpython3-dev	3.10.6-1~22.04.1	install ok installed
libpython3-stdlib	3.10.6-1~22.04.1	install ok installed
libpython3.10	3.10.12-1~22.04.15	install ok installed
libpython3.10-dev	3.10.12-1~22.04.15	install ok installed
libpython3.10-minimal	3.10.12-1~22.04.15	install ok installed
libpython3.10-stdlib	3.10.12-1~22.04.15	install ok installed
libquadmath0	12.3.0-1ubuntu1~22.04.3	install ok installed
libreadline8	8.1.2-1	install ok installed
librtmp1	2.4+20151223.gitfa8646d.1-2build4	install ok installed
libsasl2-2	2.1.27+dfsg2-3ubuntu1.2	install ok installed
